Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,                            ,                             ,                              ,                               ,                                ,                                 ,                                  ,                                   ,                                    
Spring,2016,PRIYA NARASIMHAN,ECE,18848,SPCL TPCS EMBD SYSM,D,15,19,79%,8.86,4.87,4.67,4.80,4.93,5.00,4.93,4.93,5.00,4.80,,,,,,,,,
Spring,2016,AMINATA GARBA,ECE,18858,SPECIAL TPCS IN COMM,R4,5,8,63%,11.80,4.20,4.20,4.20,4.20,4.20,4.00,4.40,4.00,3.80,,,,,,,,,
Spring,2016,SWARUN KUMAR SURESH KUMAR,ECE,18859,SP TPC COMMNCATION,F,2,5,40%,9.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2016,OZAN TONGUZ,ECE,18859,SP TPC COMMNCATION,H,4,8,50%,9.50,4.25,4.00,3.75,4.25,4.75,4.50,4.75,4.25,4.25,,,,,,,,,
Spring,2016,OZAN TONGUZ,ECE,18859,SP TPC COMMNCATION,SH,2,3,67%,9.50,4.00,3.50,3.50,3.50,3.50,4.50,4.50,4.00,4.00,,,,,,,,,
Spring,2016,JOVAN ILIC,ECE,18875,ENG ECON EL ENGY SYS,1,14,16,88%,12.31,4.50,4.07,4.43,4.00,4.50,4.21,4.43,4.21,4.21,,,,,,,,,
Spring,2016,TAHA USTUN,ECE,18883,SP TPC IN ENGY SYS,K4,2,4,50%,8.00,5.00,5.00,5.00,4.50,5.00,5.00,4.50,5.00,4.50,,,,,,,,,
Spring,2016,TAHA USTUN,ECE,18883,SP TPC IN ENGY SYS,R3,1,3,33%,14.00,3.00,3.00,4.00,1.00,3.00,4.00,3.00,3.00,3.00,,,,,,,,,
Spring,2016,PATRICK MCSHARRY,ECE,18899,SP TPC SIGNAL PROC,B3,14,17,82%,10.57,4.57,4.14,4.50,4.29,4.71,4.36,4.71,4.50,4.36,,,,,,,,,
Spring,2016,PATRICK MCSHARRY,ECE,18899,SP TPC SIGNAL PROC,B4,9,13,69%,11.00,4.44,4.22,4.33,4.33,4.56,4.22,4.56,4.33,4.33,,,,,,,,,
Spring,2016,PATRICK MCSHARRY,ECE,18899,SP TPC SIGNAL PROC,K3,10,19,53%,12.86,4.80,4.30,4.50,4.00,4.50,4.20,5.00,4.10,4.30,,,,,,,,,
Spring,2016,PATRICK MCSHARRY,ECE,18899,SP TPC SIGNAL PROC,K4,7,18,39%,8.00,4.29,4.33,4.00,4.14,4.14,4.00,4.71,4.00,4.00,,,,,,,,,
Spring,2016,DEANNA MATTHEWS,EPP,19101,INTRO ENGR & PUB POL,1,45,65,69%,8.96,4.58,4.13,4.22,4.16,4.31,3.98,4.84,4.09,3.91,,,,,,,,,
Spring,2016,JAMES HERBSLEB,EPP,19211,ETHCS POLICY CMPTNG,A,8,16,50%,5.75,4.75,4.50,4.75,4.25,4.63,4.63,4.63,4.63,4.63,,,,,,,,,
Spring,2016,DENISE CARUSO,EPP,19325,POLICY WRITING,A,6,10,60%,11.00,4.83,4.67,4.83,5.00,4.67,4.50,4.83,4.83,4.83,,,,,,,,,
Spring,2016,TIMOTHY BROWN,EPP,19432,STBITCONCRY,A4,3,16,19%,7.00,4.33,4.00,4.67,4.00,4.67,4.67,5.00,4.67,4.67,,,,,,,,,
Spring,2016,DEBORAH STINE,EPP,19486,NEW TECH COMM PUBPOL,A,2,2,100%,5.00,4.50,3.50,4.00,4.00,4.50,3.50,4.50,4.00,3.50,,,,,,,,,
Spring,2016,KATHLEEN CARLEY,EPP,19640,DYNM NETWK ANALYSIS,1,1,3,33%,11.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,,,,,,,,,
Spring,2016,KELLY KLIMA,EPP,19648,INT CLM ADP INN CR,A3,2,5,40%,6.50,3.00,3.00,2.00,1.50,2.50,2.00,3.00,2.00,2.00,,,,,,,,,
Spring,2016,DEBORAH STINE,EPP,19665,ENVIR POLITIC POLICY,A4,14,17,82%,9.29,4.43,4.57,4.50,4.36,4.50,4.21,4.79,4.21,4.29,,,,,,,,,
Spring,2016,JAY WHITACRE,EPP,19666,ENGY POLICY & ECONMC,A4,3,8,38%,8.00,4.67,4.67,4.33,3.67,4.33,4.33,5.00,5.00,4.33,,,,,,,,,
Spring,2016,JIMMY WILLIAMS,EPP,19680,E&TIM SEM INNV MN PC,A,23,30,77%,5.78,4.30,3.87,3.83,3.65,4.35,4.09,4.30,3.83,3.61,,,,,,,,,
Spring,2016,FOLKE KAFKA,EPP,19681,MANAGERIAL ENG ECON,1,22,30,73%,8.59,3.55,4.05,3.86,2.73,4.32,3.59,3.73,3.55,3.45,,,,,,,,,
Spring,2016,DEBORAH STINE,EPP,19686,NEW TECH COMM PUBPOL,A,1,5,20%,5.00,3.00,2.00,2.00,2.00,4.00,3.00,3.00,2.00,3.00,,,,,,,,,
Spring,2016,ROBERT WASSON,EPP,19689,FINC INV MNGM,A3,11,13,85%,14.50,4.18,4.09,4.27,4.73,4.09,3.73,4.82,3.55,3.91,,,,,,,,,
Spring,2016,INES AZEVEDO,EPP,19702,QUANT MTHDS POL ANAL,A,11,14,79%,13.70,4.55,3.60,4.10,3.70,4.20,3.90,4.50,3.90,3.73,,,,,,,,,
Spring,2016,ALEXANDER DAVIS,EPP,19703,ST: APPLD DATA ANAL1,A3,11,21,52%,11.00,4.55,4.55,4.18,3.91,4.55,4.27,4.73,4.09,4.18,,,,,,,,,
Spring,2016,ALEXANDER DAVIS,EPP,19704,APPLD DATA ANAL2,A4,19,21,90%,13.74,4.11,3.58,3.58,3.26,4.37,3.89,3.79,3.58,3.78,,,,,,,,,
Spring,2016,PAUL FISCHBECK,EPP,19718,PUBPOLREG,A4,6,9,67%,6.50,4.83,4.17,4.33,4.17,4.50,4.50,4.83,4.50,4.00,,,,,,,,,
Spring,2016,MARVIN SIRBU,EPP,19722,TELECM TCH PLY MANGM,A,5,7,71%,11.00,4.40,4.00,4.20,4.60,4.40,4.60,4.80,4.40,4.40,,,,,,,,,
Spring,2016,JAY WHITACRE,EPP,19724,MATERIALS ENGY STRGE,A3,6,8,75%,11.50,4.83,4.50,4.67,4.00,5.00,4.83,4.83,4.67,4.33,,,,,,,,,
Spring,2016,JOVAN ILIC,EPP,19739,ENG ECON EL ENGY SYS,1,4,5,80%,8.00,4.75,5.00,5.00,4.75,5.00,5.00,5.00,4.75,4.75,,,,,,,,,
Spring,2016,TIMOTHY BROWN,EPP,19802,STBITCONCRY,A4,3,5,60%,10.00,4.67,4.33,4.67,3.67,4.67,4.67,5.00,4.67,4.67,,,,,,,,,
Spring,2016,TIMOTHY BROWN,EPP,19802,STBITCONCRY,R4,1,2,50%,14.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,
Spring,2016,PEDRO FERREIRA,EPP,19819,MEAS CAUCAL EFF ONLI,A3,4,4,100%,5.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,,,,,,,,,
Spring,2016,JEROME APT,EPP,19882,SEMR LW-CRBN ELC PWR,A4,13,13,100%,9.00,4.92,5.00,4.92,4.31,4.92,5.00,4.62,4.77,4.92,,,,,,,,,
Spring,2016,INES AZEVEDO,EPP,19883,SP TPC SEM CEDM,A,4,4,100%,2.00,4.25,4.00,4.00,3.75,3.75,3.75,4.25,4.25,4.25,,,,,,,,,
Spring,2016,PEDRO FERREIRA,EPP,19885,TELCM MNGMNT PLY RSH,A,1,2,50%,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2016,PEDRO FERREIRA,EPP,19885,TELCM MNGMNT PLY RSH,PP,2,3,67%,6.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,,,,,,,,,
Spring,2016,BRUCE KROGH,ICT,04602,MSIT FIRST-YEAR SEMR,A,16,27,59%,4.63,5.00,4.88,4.88,4.75,4.94,4.81,4.94,5.00,4.88,,,,,,,,,
Spring,2016,ZAIN KHAN,ICT,04605,MSIT SECOND YR SEMR,A,1,2,50%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2016,MANUEL ROSSO-LLOPART,ICT,04630,COMPTR SCI PRNC PRC,A,8,16,50%,19.38,4.88,4.63,4.63,4.38,4.63,4.63,5.00,4.88,4.13,,,,,,,,,
Spring,2016,MANUEL ROSSO-LLOPART,ICT,04630,COMPTR SCI PRNC PRC,B,5,7,71%,23.00,5.00,4.60,4.60,4.80,4.60,4.80,5.00,4.80,4.40,,,,,,,,,
Spring,2016,NICOLAS CHRISTIN,ICT,04635,INTRD INFM SECURITY,A,16,25,64%,17.13,4.75,4.63,4.81,4.44,4.63,4.44,4.81,4.75,4.56,,,,,,,,,
Spring,2016,AMINATA GARBA,ICT,04644,WIRELESS NETWORKS,1,2,2,100%,20.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2016,TAHA USTUN,ICT,04800,SP TPC IN ICT,D,2,5,40%,11.00,5.00,5.00,5.00,4.50,5.00,5.00,4.50,5.00,5.00,,,,,,,,,
Spring,2016,ZAIN KHAN,ICT,04900,MSIT PRACTICUM,A,5,7,71%,25.00,4.80,4.60,4.60,4.60,4.80,4.40,4.80,4.60,4.60,,,,,,,,,
Spring,2016,ROBERT SEACORD,INI,14735,SECURE CODING,A,7,11,64%,7.14,4.71,4.43,4.86,5.00,5.00,5.00,5.00,4.86,4.86,,,,,,,,,
Spring,2016,ROBERT SEACORD,INI,14735,SECURE CODING,SV,6,6,100%,8.50,4.50,4.33,4.67,4.33,4.50,4.17,4.83,4.50,4.50,,,,,,,,,
Spring,2016,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,26,33,79%,12.64,4.08,4.15,4.23,3.69,4.23,4.19,4.31,4.12,4.04,,,,,,,,,
Spring,2016,DAVID LAMONT,INI,14774,MANAGERIAL ECON,A3,31,37,84%,7.33,4.58,4.68,4.68,4.29,4.65,4.68,4.71,4.58,4.45,,,,,,,,,
Spring,2016,DAVID LAMONT,INI,14775,BUSINESS MANAGEMENT,A4,20,23,87%,8.84,4.65,4.65,4.55,4.50,4.50,4.55,4.70,4.55,4.50,,,,,,,,,
Spring,2016,DAVID LAMONT,INI,14775,BUSINESS MANAGEMENT,B4,15,18,83%,9.60,4.87,4.87,4.73,4.60,4.67,4.87,4.73,4.60,4.67,,,,,,,,,
Spring,2016,JAMES STEVENS,INI,14782,ST: IS RISK MAN I,A3,29,34,85%,5.62,4.59,4.45,4.62,4.14,4.66,4.62,4.79,4.55,4.45,,,,,,,,,
Spring,2016,JAMES STEVENS,INI,14784,ST: IS RISK MAN II,A4,26,30,87%,7.65,4.15,3.92,4.04,3.92,4.15,4.15,4.46,4.00,3.77,,,,,,,,,
Spring,2016,RAHUL TELANG,INI,14788,INFO SEC POL MGT,A4,6,8,75%,8.50,4.33,4.00,3.83,3.83,4.00,4.00,4.17,4.00,3.67,,,,,,,,,
Spring,2016,PATRICK TAGUE,INI,14814,WIRELESS NETWORK SEC,A,6,7,86%,10.50,5.00,5.00,5.00,4.83,5.00,5.00,5.00,4.83,4.83,,,,,,,,,
Spring,2016,PATRICK TAGUE,INI,14814,WIRELESS NETWORK SEC,SV,5,7,71%,9.80,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.80,,,,,,,,,
Spring,2016,EDWARD ENGLER,INI,14815,ENTRE INOV TCH,A,15,17,88%,9.20,4.87,4.53,4.47,4.67,4.67,4.60,4.80,4.60,4.67,,,,,,,,,
Spring,2016,ALEXANDER VOLYNKIN,INI,14819,INTRO SW REV-ENG,A,20,27,74%,15.32,4.90,4.95,4.95,4.65,4.90,4.95,5.00,5.00,4.85,,,,,,,,,
Spring,2016,ALEXANDER VOLYNKIN,INI,14819,INTRO SW REV-ENG,SV,2,2,100%,15.50,5.00,5.00,4.50,4.50,5.00,5.00,5.00,4.50,5.00,,,,,,,,,
Spring,2016,JEFFREY MATTSON,INI,14822,HOST BASED FORENSICS,A,10,16,63%,12.20,4.10,3.60,3.70,3.70,4.60,3.70,4.40,3.60,3.70,,,,,,,,,
Spring,2016,JOSHUA HAMMERSTEIN,INI,14832,CYBER FORENSCS CAPSN,A,10,10,100%,12.80,4.30,4.20,4.30,3.90,4.30,4.50,4.50,4.30,3.90,,,,,,,,,
Spring,2016,PEI ZHANG,INI,14841,MBL & PERVASIVE COMP,SV,6,7,86%,11.00,4.33,3.83,3.67,4.67,4.50,4.17,4.17,4.33,4.17,,,,,,,,,
Spring,2016,KAI-TING WEI,INI,14844,ST:MOB AD,S4,10,10,100%,8.40,4.40,4.20,4.30,4.60,4.40,4.50,4.80,4.20,4.00,,,,,,,,,
Spring,2016,PHILIP LEDUC,MEG,24101,FUND OF MECH ENGR,1,86,133,65%,6.76,3.55,3.36,3.38,3.00,3.57,2.97,4.17,3.00,3.09,,,,,,,,,
Spring,2016,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,4,6,67%,8.75,4.50,4.25,4.25,4.50,4.50,4.00,4.50,4.50,4.50,,,,,,,,,
Spring,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A3,5,12,42%,2.00,4.80,5.00,5.00,4.80,5.00,5.00,5.00,5.00,4.80,,,,,,,,,
Spring,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,B4,13,23,57%,2.23,4.08,4.31,4.38,4.08,4.15,4.08,4.38,4.23,4.08,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24210,ADD MANF,A3,10,11,91%,5.00,4.60,4.00,4.40,3.80,4.90,4.60,4.50,4.40,4.30,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24210,ADD MANF,B4,17,18,94%,5.00,4.76,4.71,4.82,4.41,4.82,4.94,4.71,4.71,4.71,,,,,,,,,
Spring,2016,SHAWN LITSTER,MEG,24231,FLUID MECHANICS,1,104,110,95%,8.90,4.31,4.26,4.24,3.97,4.45,4.23,4.63,4.24,4.10,,,,,,,,,
Spring,2016,PAUL STEIF,MEG,24262,STRESS ANALYSIS,1,62,108,57%,9.69,4.65,4.47,4.48,4.29,4.66,4.53,4.65,4.50,4.37,,,,,,,,,
Spring,2016,SHI-CHUNE YAO,MEG,24292,ST RENEW ENERGY ENGR,A,10,16,63%,6.50,4.20,4.20,4.20,3.70,4.40,4.10,4.50,4.10,4.00,,,,,,,,,
Spring,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,A,8,18,44%,3.88,4.38,4.50,4.38,4.57,4.25,4.25,4.38,4.13,4.13,,,,,,,,,
Spring,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,B,6,8,75%,2.00,4.17,4.17,4.17,4.67,4.33,4.17,4.17,3.67,3.83,,,,,,,,,
Spring,2016,ALAN MCGAUGHEY,MEG,24311,NUMERICAL METHODS,A,85,128,66%,9.80,4.70,4.76,4.73,4.44,4.62,4.71,4.73,4.69,4.60,,,,,,,,,
Spring,2016,GLENN JARVIS,MEG,24341,MANUFACTUR SCIENCES,T,17,32,53%,6.76,4.24,4.18,4.00,3.76,4.35,4.06,4.71,4.12,4.18,,,,,,,,,
Spring,2016,CAMERON RIVIERE,MEG,24352,DYNMC SYS & CONTROL,A,102,117,87%,8.78,3.20,2.82,2.60,2.70,2.50,2.36,3.93,2.29,2.40,,,,,,,,,
Spring,2016,SHRADDHA JOSHI,MEG,24441,ENGINEERING DSIGN II,A,19,35,54%,12.53,3.95,3.32,3.26,3.47,3.37,3.42,4.16,3.37,3.00,,,,,,,,,
Spring,2016,LEVENT KARA,MEG,24441,ENGINEERING DSIGN II,B,31,33,94%,12.26,4.71,4.48,4.48,4.61,4.58,4.55,4.81,4.65,4.42,,,,,,,,,
Spring,2016,KEITH COOK,MEG,24612,CARDIO MECH,1,5,5,100%,10.40,4.60,4.80,5.00,4.60,4.80,5.00,4.80,5.00,5.00,,,,,,,,,
Spring,2016,SATBIR SINGH,MEG,24618,COMP TRNSPT PHENOM,A,20,22,91%,13.60,4.75,4.50,4.60,4.50,4.80,4.25,4.85,4.25,4.05,,,,,,,,,
Spring,2016,JONATHAN MALEN,MEG,24628,ENG TRNSP CONV NANSC,A,13,15,87%,10.25,4.85,4.85,4.77,4.62,4.77,4.69,4.69,4.85,4.85,,,,,,,,,
Spring,2016,VENKATASUBRAMAN VISWANATHAN,MEG,24643,SP TPC: EL EN STR SY,A,26,27,96%,8.12,4.54,4.48,4.58,4.27,4.77,4.46,4.50,4.46,4.46,,,,,,,,,
Spring,2016,ALBERT PRESTO,MEG,24645,ST-AIR PLT SENS DSN,A,9,9,100%,9.00,4.44,4.44,4.78,4.22,4.67,4.56,4.89,4.67,4.56,,,,,,,,,
Spring,2016,JAMES BURG,MEG,24650,SP TPS APP FIN EL AN,A,21,27,78%,9.71,4.67,4.52,4.57,4.24,4.67,4.10,4.67,4.10,4.14,,,,,,,,,
Spring,2016,MAARTEN DE BOER,MEG,24651,MAT SLC ENGR,A,25,39,64%,12.00,4.52,4.60,4.60,4.32,4.68,4.63,4.68,4.44,4.44,,,,,,,,,
Spring,2016,YONGJIE ZHANG,MEG,24658,CMPTNL BIO-MDL VISLN,A,11,12,92%,5.82,4.36,4.18,4.18,4.18,3.82,4.09,4.64,4.09,4.18,,,,,,,,,
Spring,2016,MEHRDAD MASSOUDI,MEG,24659,CNTM BIOMC,A,5,6,83%,9.20,4.60,4.20,4.40,4.20,4.60,4.40,4.80,4.60,4.20,,,,,,,,,
Spring,2016,CARMEL MAJIDI,MEG,24673,SF RB MC DS MD,A,17,26,65%,9.69,4.59,4.63,4.65,4.47,4.71,4.65,4.71,4.76,4.65,,,,,,,,,
Spring,2016,KENJI SHIMADA,MEG,24681,COMP AID DESIGN,A,38,38,100%,11.42,4.53,4.47,4.53,4.55,4.55,4.42,4.79,4.46,4.32,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24685,ST-ADD MANUF ENG,A3,6,7,86%,5.00,4.33,4.50,4.50,4.00,4.83,4.83,4.83,4.50,4.33,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24685,ST-ADD MANUF ENG,B4,12,12,100%,4.45,4.50,4.33,4.67,3.67,4.58,4.67,4.58,4.67,4.33,,,,,,,,,
Spring,2016,NOE VARGAS HERNANDEZ,MEG,24687,SP TPC: GR DES PROJ,A,3,3,100%,10.00,4.33,4.67,4.67,4.67,4.67,4.33,5.00,4.00,3.67,,,,,,,,,
Spring,2016,SUALP OZEL,MEG,24688,INTRD CAD/CAE TOOLS,1,15,24,63%,8.80,4.00,3.93,3.93,3.67,4.27,4.00,4.60,3.80,3.67,,,,,,,,,
Spring,2016,NOE VARGAS HERNANDEZ,MEG,24689,SP TPC: GLB SST DSGN,A,10,11,91%,9.80,4.10,3.50,3.60,3.30,3.80,3.40,4.30,3.50,3.30,,,,,,,,,
Spring,2016,SATBIR SINGH,MEG,24703,NUML MTHS IN ENGING,A,18,20,90%,11.89,3.89,4.28,4.22,3.72,4.00,3.89,4.61,3.72,3.56,,,,,,,,,
Spring,2016,YOED RABIN,MEG,24711,FLUID DYNAMICS,A,3,3,100%,11.00,4.33,4.00,4.00,4.33,4.67,4.67,4.67,4.33,4.33,,,,,,,,,
Spring,2016,C HIGGS,MEG,24718,COMPUTNL FLUID DYNM,A,29,31,94%,11.93,4.62,4.62,4.59,4.31,4.62,4.52,4.69,4.55,4.52,,,,,,,,,
Spring,2016,LUCA DESERI,MEG,24752,INTRO SOLID MECH II,A,1,2,50%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2016,JACOBO BIELAK,MEG,24755,FNTE ELMT MTHD MEC I,A,20,22,91%,12.95,4.60,4.55,4.60,4.65,4.60,4.65,4.84,4.60,4.60,,,,,,,,,
Spring,2016,KOUSHIL SREENATH,MEG,24776,NON LINEAR CONTROL,A,20,22,91%,12.25,4.75,4.75,4.45,4.15,4.55,4.70,5.00,4.75,4.55,,,,,,,,,
Spring,2016,JOHN DOLAN,MEG,24778,MECHATRONIC DESIGN,1,34,44,77%,16.74,4.24,4.24,4.35,4.29,4.26,4.21,4.62,4.35,4.36,,,,,,,,,
Spring,2016,SOJI YAMAKAWA,MEG,24783,SPC TPC ADV COMP,A,40,43,93%,8.93,4.47,4.32,4.17,4.32,4.23,4.23,4.82,4.23,4.03,,,,,,,,,
Spring,2016,MICHAEL BOCKSTALLER,MSE,27100,ENG MATERLS OF FUTRE,1,53,81,65%,7.55,4.23,4.21,4.11,3.68,4.09,4.06,4.60,3.98,3.83,,,,,,,,,
Spring,2016,ROBERT HEARD,MSE,27100,ENG MATERLS OF FUTRE,A,18,25,72%,5.88,4.56,4.50,4.56,4.44,4.61,4.61,4.56,4.50,4.56,,,,,,,,,
Spring,2016,ROBERT HEARD,MSE,27100,ENG MATERLS OF FUTRE,B,16,24,67%,5.19,4.69,4.56,4.50,4.13,4.44,4.63,4.56,4.50,4.50,,,,,,,,,
Spring,2016,ROBERT HEARD,MSE,27100,ENG MATERLS OF FUTRE,C,15,22,68%,5.80,4.60,4.40,4.60,4.33,4.60,4.53,4.60,4.47,4.33,,,,,,,,,
Spring,2016,ROBERT HEARD,MSE,27100,ENG MATERLS OF FUTRE,D,4,10,40%,5.00,4.50,4.25,4.25,4.67,3.75,4.25,4.25,4.50,4.75,,,,,,,,,
Spring,2016,PAUL SALVADOR,MSE,27202,DEFECTS IN MATLS,A,27,34,79%,9.04,3.93,3.81,3.81,3.70,3.85,3.44,3.85,3.56,3.70,,,,,,,,,
Spring,2016,YOOSUF PICARD,MSE,27205,MATERIALS CHARACTZTN,A,20,35,57%,2.17,3.80,4.00,3.95,3.21,4.26,3.89,4.00,3.74,3.74,,,,,,,,,
Spring,2016,ELIZABETH HOLM,MSE,27216,TRANSPRT IN MATERIAL,A,29,36,81%,8.21,4.97,4.83,4.79,4.76,4.83,4.76,4.97,4.86,4.79,,,,,,,,,
Spring,2016,VINCENT SOKALSKI,MSE,27217,PHASE RELTNS & DIAGM,1,23,37,62%,8.00,4.35,4.43,4.35,4.22,3.83,4.22,4.74,4.17,4.00,,,,,,,,,
Spring,2016,LISA PORTER,MSE,27217,PHASE RELTNS & DIAGM,A,19,37,51%,4.05,3.63,3.47,3.37,3.53,3.47,3.21,4.21,3.42,3.32,,,,,,,,,
Spring,2016,PETRUS PISTORIUS,MSE,27357,INTRO TO MATLS SELEC,A3,12,30,40%,5.50,4.00,4.25,4.00,3.92,4.00,4.00,4.50,4.00,3.73,,,,,,,,,
Spring,2016,ROBERT HEARD,MSE,27367,SELECT PERFRMC MATRL,A,21,32,66%,6.95,4.05,3.00,3.48,3.10,3.71,3.14,4.05,3.43,3.24,,,,,,,,,
Spring,2016,ELIAS TOWE,MSE,27410,COMPTTNL TECHNQS ENG,A,4,4,100%,11.00,4.75,4.25,4.75,4.00,4.75,5.00,5.00,4.75,4.75,,,,,,,,,
Spring,2016,BRYAN WEBLER,MSE,27514,SPECIAL TOPICS,A,3,3,100%,8.00,4.67,4.67,4.67,4.33,4.67,4.67,4.67,5.00,4.67,,,,,,,,,
Spring,2016,ADAM FEINBERG,MSE,27520,TISSUE ENGR,A,5,7,71%,11.60,4.20,4.40,4.20,4.00,4.60,4.40,4.80,4.20,4.80,,,,,,,,,
Spring,2016,MOHAMMAD ISLAM,MSE,27565,NANOSTRUCTRD MATRLS,A,6,8,75%,10.50,4.50,4.17,4.17,4.00,4.50,4.00,3.83,4.33,4.17,,,,,,,,,
Spring,2016,CHRISTOPHER BETTINGER,MSE,27570,MLC MC-SC PL BIO MED,A,9,18,50%,10.78,4.78,3.67,4.22,3.89,4.67,4.44,4.63,4.44,4.22,,,,,,,,,
Spring,2016,MOHAMMAD ISLAM,MSE,27705,NANOSTRUCD MATERIALS,A,16,18,89%,10.60,4.44,4.25,4.13,3.88,4.53,4.38,4.13,4.25,4.31,,,,,,,,,
Spring,2016,ADAM FEINBERG,MSE,27720,TISSUE ENGINEERING,A,2,3,67%,14.00,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.00,4.00,,,,,,,,,
Spring,2016,JAY WHITACRE,MSE,27724,MATERIALS ENGY STRGE,A3,13,25,52%,13.77,4.23,3.92,3.85,3.62,4.38,4.00,4.46,4.08,3.85,,,,,,,,,
Spring,2016,WARREN GARRISON,MSE,27727,MCHL BEHV EXTM ENVR,A4,18,30,60%,10.00,4.28,4.39,4.44,4.28,4.44,4.33,4.56,4.28,4.22,,,,,,,,,
Spring,2016,MARC DEGRAEF,MSE,27740,MTHDS ELEC MICROSCPY,1,29,37,78%,8.76,4.52,4.41,4.45,4.07,4.45,4.59,4.66,4.59,4.31,,,,,,,,,
Spring,2016,ANTHONY ROLLETT,MSE,27750,ADV CHAR MICRO ANLYS,A,9,15,60%,15.44,4.89,4.67,4.89,4.89,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Spring,2016,NEWELL WASHBURN,MSE,27759,MOLECULAR ENGINEERIN,1,3,5,60%,8.00,4.67,4.00,4.67,4.00,4.67,5.00,5.00,4.33,4.33,,,,,,,,,
Spring,2016,BRYAN WEBLER,MSE,27765,SPECIAL TOPICS,A,10,14,71%,11.70,4.70,4.80,4.90,4.50,4.60,4.60,4.90,4.50,4.33,,,,,,,,,
Spring,2016,MAREK SKOWRONSKI,MSE,27770,ELECTRON MAG OP PROP,A,5,12,42%,8.00,4.40,4.20,4.40,4.00,4.40,4.40,4.60,4.40,4.00,,,,,,,,,
Spring,2016,DAVID LAUGHLIN,MSE,27782,PHASE TRNS SOLIDS I,A,9,13,69%,9.00,4.56,4.11,4.22,4.22,4.56,4.56,4.89,4.33,4.11,,,,,,,,,
Fall,2016,NEWELL WASHBURN,BMD,42101,INTRODUCTION BIOMED,A,41,64,64%,6.68,4.39,3.93,4.03,3.85,4.50,4.07,4.72,3.95,4.10,,,,,,,,,
Fall,2016,YU-LI WANG,BMD,42201,PRO ISSUES IN BIOMED,A,10,18,56%,2.60,4.40,4.30,4.40,3.90,4.70,4.40,4.90,4.20,4.20,,,,,,,,,
Fall,2016,PHIL CAMPBELL,BMD,42202,PHYSIOLOGY,A,48,80,60%,8.13,4.56,4.67,4.62,4.04,4.62,4.56,4.75,4.60,4.60,,,,,,,,,
Fall,2016,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,A,15,18,83%,12.20,4.80,4.67,4.73,4.33,4.73,4.67,4.87,4.80,4.40,,,,,,,,,
Fall,2016,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,B,14,17,82%,11.00,4.86,4.79,4.71,4.86,4.85,4.79,4.93,4.93,4.64,,,,,,,,,
Fall,2016,TODD PRZYBYCIEN,BMD,42302,BIOMED EN SY MD ANLY,A,2,4,50%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Fall,2016,KEITH COOK,BMD,42341,INTRO BIOMECHANICS,A,7,10,70%,9.71,4.57,4.43,4.43,3.86,4.57,4.57,4.29,4.29,3.71,,,,,,,,,
Fall,2016,CONRAD ZAPANTA,BMD,42401,FNDTN OF BME DESIGN,A,45,65,69%,5.47,4.58,4.66,4.73,4.36,4.60,4.44,4.82,4.64,4.56,,,,,,,,,
Fall,2016,CHRISTOPHER BETTINGER,BMD,42411,ENGINEERING BIOMTRLS,A,12,12,100%,9.50,4.83,4.00,4.33,4.00,4.42,4.18,4.92,4.42,4.25,,,,,,,,,
