Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,1 : Project 1. Draw on Skills,2: Interest in student learning,3: Explain course requirements,3 : Project 2. Develop skills,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,6 : Project 3. Demand on Time and Attn,7: Project 4. External Review Committee helpfulness,7 : Explains subject matter,8: Show respect for students,8 : Project 5. Faculty Mgmt Satisfaction,9: Project 6. Group Worked Smoothly,9 : Overall teaching,10: Overall course,10 : Project 7. Effective learning experience,11: Project 8. Project Size,12: Project 9. General Rating,14: Proj Instr 1. Motivation,15: Proj Instr 2. Guidance,16: Proj Instr 3. Knows next steps,17: Proj Instr 4. Instructor availability,18: Proj Instr 5. Overall Lead Effectiveness
Spring,2016,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,M,5,10,50%,9.80,4.60,4.80,5.00,5.00,4.80,5.00,5.00,4.80,4.80,,,,,,,,,,,,,,
Spring,2016,JEREMY SMITH,ISM,95703,DATABASE MANAGEMENT,Z,25,32,78%,12.00,4.24,4.36,4.44,4.08,4.12,4.20,4.72,4.24,4.36,,,,,,,,,,,,,,
Spring,2016,NEELAM DWIVEDI,ISM,95706,OBJ ORIENTED A & D,A3,14,23,61%,8.71,4.14,4.14,4.00,4.21,4.00,4.14,4.29,3.71,3.71,,,,,,,,,,,,,,
Spring,2016,NEELAM DWIVEDI,ISM,95706,OBJ ORIENTED A & D,B4,18,28,64%,8.67,4.00,3.83,4.00,4.06,4.06,3.94,4.33,3.94,3.78,,,,,,,,,,,,,,
Spring,2016,CONSTANTINE COIS,ISM,95706,OBJ ORIENTED A & D,C3,32,49,65%,9.67,4.44,4.66,4.56,4.22,4.50,4.47,4.56,4.35,4.16,,,,,,,,,,,,,,
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95706,OBJ ORIENTED A & D,K3,21,30,70%,14.29,3.70,3.67,3.48,3.52,3.67,3.81,4.71,3.75,3.29,,,,,,,,,,,,,,
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95706,OBJ ORIENTED A & D,L3,16,28,57%,11.88,3.88,3.56,3.50,3.44,3.75,3.69,4.19,3.56,3.44,,,,,,,,,,,,,,
Spring,2016,KAREN CLAY,ISM,95710,ECONOMIC ANALYSIS,A3,14,22,64%,7.79,3.64,3.57,3.43,3.29,3.64,3.43,3.71,3.36,3.50,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95710,ECONOMIC ANALYSIS,K3,26,40,65%,12.08,4.88,4.77,4.77,4.77,4.69,4.62,4.73,4.73,4.69,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95710,ECONOMIC ANALYSIS,L4,29,40,73%,10.00,4.83,4.59,4.59,4.46,4.79,4.50,4.68,4.39,4.39,,,,,,,,,,,,,,
Spring,2016,LYNNE PASTOR,ISM,95715,FINANCIAL ACCOUNTING,B3,9,15,60%,6.00,4.44,4.67,4.56,4.33,4.56,4.67,4.67,4.33,4.33,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95715,FINANCIAL ACCOUNTING,K3,23,36,64%,11.55,4.78,4.26,4.17,4.48,4.52,4.17,4.70,4.22,4.04,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95715,FINANCIAL ACCOUNTING,L3,27,35,77%,12.54,4.70,4.48,4.63,4.37,4.63,4.65,4.70,4.59,4.63,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95715,FINANCIAL ACCOUNTING,M3,20,34,59%,9.30,4.90,4.60,4.65,4.60,4.75,4.65,4.80,4.60,4.50,,,,,,,,,,,,,,
Spring,2016,LYNNE PASTOR,ISM,95715,FINANCIAL ACCOUNTING,Z3,7,13,54%,8.86,3.57,3.71,4.00,2.71,3.71,3.57,3.71,3.29,3.43,,,,,,,,,,,,,,
Spring,2016,LYNNE PASTOR,ISM,95716,PRINCIPLS OF FINANCE,A4,14,20,70%,7.86,4.07,4.50,4.29,3.64,4.14,4.57,4.29,4.07,4.21,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95716,PRINCIPLS OF FINANCE,K4,24,31,77%,11.25,4.67,4.58,4.42,4.38,4.54,4.17,4.38,4.26,4.08,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95716,PRINCIPLS OF FINANCE,L4,26,36,72%,12.27,4.58,4.54,4.50,4.50,4.69,4.54,4.69,4.54,4.38,,,,,,,,,,,,,,
Spring,2016,TIONG LIM,ISM,95716,PRINCIPLS OF FINANCE,M4,27,33,82%,10.88,4.85,4.74,4.78,4.67,4.85,4.67,4.78,4.81,4.67,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,A3,8,11,73%,6.13,4.38,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,B4,9,12,75%,5.33,4.22,3.89,4.00,4.44,4.56,4.33,4.44,4.22,4.13,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,C3,11,15,73%,5.27,4.09,3.91,4.09,4.73,4.45,4.09,4.45,4.27,4.00,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,D4,6,13,46%,7.00,3.67,4.00,4.17,4.00,4.00,3.67,4.50,3.83,3.67,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,E3,10,15,67%,7.00,4.10,4.10,4.10,4.10,4.20,4.10,4.20,4.20,4.00,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,F4,13,15,87%,6.15,4.69,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.62,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,G3,10,14,71%,5.00,4.50,4.30,4.22,4.30,4.40,4.30,4.50,4.50,4.20,,,,,,,,,,,,,,
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,H4,8,15,53%,8.00,3.88,3.75,3.63,4.25,4.00,4.13,4.14,4.13,3.75,,,,,,,,,,,,,,
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,A3,15,27,56%,9.46,4.40,4.53,4.33,4.27,4.47,4.53,4.60,4.47,4.13,,,,,,,,,,,,,,
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,B4,31,37,84%,9.58,4.61,4.58,4.48,4.32,4.42,4.45,4.71,4.65,4.26,,,,,,,,,,,,,,
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,C3,23,40,58%,8.91,4.43,4.17,4.09,4.30,4.35,4.30,4.43,4.30,4.17,,,,,,,,,,,,,,
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,D4,16,19,84%,9.47,4.19,4.00,4.13,3.94,3.88,4.13,4.31,4.31,4.00,,,,,,,,,,,,,,
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95722,DIGITAL TRANSFORMATN,L3,21,31,68%,13.24,4.76,4.65,4.70,4.65,4.80,4.80,4.85,4.80,4.65,,,,,,,,,,,,,,
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95722,DIGITAL TRANSFORMATN,L4,11,17,65%,12.27,4.91,4.73,4.82,4.82,4.73,4.64,4.82,4.55,4.45,,,,,,,,,,,,,,
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95722,DIGITAL TRANSFORMATN,M3,18,26,69%,9.12,4.83,4.44,4.44,4.56,4.56,4.50,4.61,4.56,4.33,,,,,,,,,,,,,,
Spring,2016,VIBHANSHU ABHISHEK,ISM,95723,MANG DISRUPT TECH,A,32,51,63%,7.61,4.59,4.47,4.34,4.31,4.41,4.41,4.55,4.45,4.13,,,,,,,,,,,,,,
Spring,2016,VIBHANSHU ABHISHEK,ISM,95723,MANG DISRUPT TECH,B,48,59,81%,8.60,4.33,4.00,4.11,4.15,4.34,4.47,4.57,4.37,4.09,,,,,,,,,,,,,,
Spring,2016,PEDRO FERREIRA,ISM,95723,MANG DISRUPT TECH,C,36,46,78%,8.91,3.89,3.63,3.72,3.56,3.74,3.83,4.11,3.53,3.17,,,,,,,,,,,,,,
Spring,2016,PEDRO FERREIRA,ISM,95723,MANG DISRUPT TECH,D,34,58,59%,9.15,3.94,3.85,3.68,3.79,3.85,3.76,4.00,3.82,3.29,,,,,,,,,,,,,,
Spring,2016,MICHAEL SMITH,ISM,95732,MKTG DIGITAL MEDIA,A4,25,25,100%,6.50,4.88,4.80,4.80,4.60,4.80,4.88,4.92,4.96,4.92,,,,,,,,,,,,,,
Spring,2016,MICHAEL SMITH,ISM,95732,MKTG DIGITAL MEDIA,B4,17,18,94%,5.88,4.94,4.82,4.71,4.41,4.94,4.88,4.94,4.94,4.94,,,,,,,,,,,,,,
Spring,2016,MICHAEL SMITH,ISM,95732,MKTG DIGITAL MEDIA,C4,7,8,88%,7.57,5.00,4.71,4.71,4.71,4.86,5.00,5.00,5.00,4.86,,,,,,,,,,,,,,
Spring,2016,MICHAEL MCCARTHY,ISM,95733,INTERNET TCHNOLOGIES,A3,10,11,91%,12.00,4.40,4.10,4.30,4.20,4.30,4.20,4.80,4.20,4.20,,,,,,,,,,,,,,
Spring,2016,RANDALL TRZECIAK,ISM,95736,ADV REL DATABASE MGT,A3,11,14,79%,11.36,4.64,4.27,4.45,4.18,4.55,4.55,4.64,4.45,4.45,,,,,,,,,,,,,,
Spring,2016,DANIEL COSTA,ISM,95737,NOSQL DATABASE MGT,A4,25,34,74%,8.25,4.68,4.76,4.72,4.28,4.72,4.72,4.84,4.60,4.48,,,,,,,,,,,,,,
Spring,2016,DANIEL COSTA,ISM,95737,NOSQL DATABASE MGT,B3,40,49,82%,8.55,4.40,4.52,4.46,4.21,4.38,4.29,4.54,4.28,4.31,,,,,,,,,,,,,,
Spring,2016,RANDALL TRZECIAK,ISM,95737,NOSQL DATABASE MGT,K4,20,29,69%,13.28,4.30,4.25,4.15,3.85,4.25,4.20,4.15,4.15,4.05,,,,,,,,,,,,,,
Spring,2016,HASAN YASAR,ISM,95748,SOFTWARE & SECURITY,A3,26,26,100%,8.50,3.64,3.00,3.28,3.24,3.80,3.16,4.24,3.04,2.92,,,,,,,,,,,,,,
Spring,2016,JOSEPH MAYES,ISM,95749,CRYPTOGRAPHY,A4,17,27,63%,9.19,4.13,3.81,4.06,3.69,4.19,4.00,3.81,3.94,3.56,,,,,,,,,,,,,,
Spring,2016,RANDALL TRZECIAK,ISM,95752,INTRO INFO SEC MGT,Z,12,19,63%,10.25,3.33,3.50,3.83,3.33,3.92,3.50,3.92,3.42,3.33,,,,,,,,,,,,,,
Spring,2016,RAHUL TELANG,ISM,95757,INFO SEC POL & MGT,A4,7,8,88%,7.57,4.57,4.43,4.43,4.43,4.86,4.57,4.71,4.57,4.57,,,,,,,,,,,,,,
Spring,2016,JOSEPH MAYES,ISM,95758,NETWK & INTERNET SEC,A,20,32,63%,7.68,4.50,4.45,4.25,4.20,4.40,4.20,4.40,4.15,3.95,,,,,,,,,,,,,,
Spring,2016,STEPHEN ROEHRIG,ISM,95760,DCSN MKG UNCERTAINTY,A4,27,43,63%,9.46,4.00,3.67,3.85,3.63,4.15,3.67,4.00,3.67,3.74,,,,,,,,,,,,,,
Spring,2016,STEPHEN ROEHRIG,ISM,95760,DCSN MKG UNCERTAINTY,B4,24,37,65%,8.30,4.13,3.67,3.67,3.71,4.13,3.96,3.67,3.79,3.71,,,,,,,,,,,,,,
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95760,DCSN MKG UNCERTAINTY,K4,23,38,61%,12.73,4.30,4.17,4.13,4.09,4.18,3.87,4.43,4.04,4.04,,,,,,,,,,,,,,
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95760,DCSN MKG UNCERTAINTY,L4,27,37,73%,10.19,4.30,4.04,4.07,3.85,4.11,3.85,4.52,3.96,3.89,,,,,,,,,,,,,,
Spring,2016,MICHAEL MCCARTHY,ISM,95771,DATA STRUC & ALGRTHM,A,21,33,64%,10.90,4.29,4.24,4.29,4.24,4.29,4.24,4.52,4.29,4.33,,,,,,,,,,,,,,
Spring,2016,NEELAM DWIVEDI,ISM,95772,DATA STRUC APPL PRGM,A3,11,15,73%,8.27,3.91,3.82,3.64,3.73,3.82,3.82,4.18,3.55,3.55,,,,,,,,,,,,,,
Spring,2016,KARYN MOORE,ISM,95774,BUSINESS PROCESS MDL,A3,3,8,38%,14.33,4.33,4.67,5.00,4.50,4.33,4.33,4.67,5.00,4.33,,,,,,,,,,,,,,
Spring,2016,KARYN MOORE,ISM,95774,BUSINESS PROCESS MDL,B3,26,32,81%,11.88,4.73,4.81,4.77,4.73,4.73,4.80,4.92,4.88,4.65,,,,,,,,,,,,,,
Spring,2016,ARTUR DUBRAWSKI,ISM,95791,DATA MINING,A3,30,44,68%,17.67,4.57,4.57,4.57,3.63,4.63,4.53,4.77,4.50,4.47,,,,,,,,,,,,,,
Spring,2016,OLEXANDRA CHOULDECHOVA,ISM,95791,DATA MINING,B4,32,38,84%,13.45,4.72,4.78,4.78,4.75,4.81,4.81,4.84,4.72,4.72,,,,,,,,,,,,,,
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95791,DATA MINING,K4,29,35,83%,13.11,4.31,4.17,4.21,4.17,4.28,4.34,4.69,4.10,4.17,,,,,,,,,,,,,,
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95791,DATA MINING,L4,18,30,60%,13.76,4.61,4.56,4.56,4.17,4.56,4.44,4.50,4.17,4.00,,,,,,,,,,,,,,
Spring,2016,Karen CHEN,ISM,95791,DATA MINING,Z4,12,17,71%,16.75,4.58,4.08,4.08,4.00,4.25,4.25,4.58,4.45,4.00,,,,,,,,,,,,,,
Spring,2016,JANUSZ SZCZYPULA,ISM,95796,STATS FOR IT MANAGER,K3,25,37,68%,10.29,4.88,4.96,4.92,4.84,4.72,4.88,4.96,4.92,4.84,,,,,,,,,,,,,,
Spring,2016,JANUSZ SZCZYPULA,ISM,95796,STATS FOR IT MANAGER,L3,14,24,58%,11.64,4.79,4.79,4.86,4.86,4.93,4.93,4.93,4.93,4.86,,,,,,,,,,,,,,
Spring,2016,JANUSZ SZCZYPULA,ISM,95796,STATS FOR IT MANAGER,M3,25,33,76%,9.48,4.72,4.76,4.80,4.64,4.88,4.84,4.92,4.76,4.68,,,,,,,,,,,,,,
Spring,2016,Rahul rladhani,ISM,95796,STATS FOR IT MANAGER,Z3,8,14,57%,12.00,4.13,3.88,3.88,3.63,3.75,3.88,4.13,3.75,3.88,,,,,,,,,,,,,,
Spring,2016,ROBERT BRICHACEK,ISM,95797,DATA WAREHOUSING,A3,10,22,45%,8.67,3.10,3.40,3.10,3.00,3.50,2.80,3.60,2.50,3.00,,,,,,,,,,,,,,
Spring,2016,BEIBEI LI,ISM,95797,DATA WAREHOUSING,B3,22,38,58%,9.23,4.41,4.27,4.32,4.09,4.41,4.23,4.64,4.23,4.00,,,,,,,,,,,,,,
Spring,2016,ANTHONY JENKINS,ISM,95797,DATA WAREHOUSING,Z4,22,30,73%,8.14,3.59,3.68,3.82,3.18,3.95,4.10,4.36,3.64,3.55,,,,,,,,,,,,,,
Spring,2016,DENNIS MOUL,ISM,95799,LINUX & OPEN SOURCE,A4,34,54,63%,7.63,4.53,4.71,4.65,4.50,4.62,4.71,4.71,4.59,4.56,,,,,,,,,,,,,,
Spring,2016,DENNIS MOUL,ISM,95799,LINUX & OPEN SOURCE,K3,17,23,74%,13.53,4.82,4.59,4.76,4.71,4.53,4.88,4.82,4.82,4.71,,,,,,,,,,,,,,
Spring,2016,STACEY SABO,ISM,95807,OBJCT-ORNTD PROG JAV,Z,8,15,53%,13.38,3.88,4.00,3.75,3.63,3.50,3.88,4.00,3.75,3.88,,,,,,,,,,,,,,
Spring,2016,RAKESH THAPAR,ISM,95808,IT PROJECT MANAGEMNT,A4,9,11,82%,10.67,4.56,4.67,4.56,4.67,4.78,4.67,5.00,4.56,4.56,,,,,,,,,,,,,,
Spring,2016,SUMMER FOWLER,ISM,95808,IT PROJECT MANAGEMNT,B3,23,23,100%,7.86,4.57,4.48,4.57,3.87,4.52,4.39,4.57,4.36,4.17,,,,,,,,,,,,,,
Spring,2016,RYAN SMALLEY,ISM,95812,INTR ITIL FRAMEWORK,A4,21,32,66%,5.29,4.81,4.76,4.81,4.62,4.81,4.81,4.76,4.76,4.76,,,,,,,,,,,,,,
Spring,2016,PEDRO FERREIRA,ISM,95819,MEAS CAUCAL EFF ONLI,A3,4,8,50%,12.00,4.75,5.00,5.00,5.00,4.75,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,
Spring,2016,THOMAS MURRAY,ISM,95821,PRODCT MNGMNT IN IT,A4,21,31,68%,6.33,3.62,3.62,3.81,3.33,3.76,3.81,3.95,3.52,3.43,,,,,,,,,,,,,,
Spring,2016,JOSEPH MERTZ,ISM,95822,IT CONSULTING,A,8,11,73%,11.75,5.00,4.88,4.88,4.75,4.88,4.75,5.00,4.75,4.88,,,,,,,,,,,,,,
Spring,2016,MARK YANALITIS,ISM,95831,ENTERPRISE ARCHTCTRS,Z3,20,32,63%,11.21,3.95,4.35,4.40,3.65,4.55,4.40,4.45,4.20,4.25,,,,,,,,,,,,,,
Spring,2016,ARTUR DUBRAWSKI,ISM,95852,APPLIED DATA SCIENCE,A4,46,60,77%,11.77,3.11,3.37,3.24,3.00,3.61,3.36,3.13,3.24,3.09,,,,,,,,,,,,,,
Spring,2016,JAMES CALLAN,ISM,95865,TEXT ANALYTICS,A4,12,15,80%,10.50,4.00,3.75,3.83,4.09,4.25,4.08,4.17,4.17,4.17,,,,,,,,,,,,,,
Spring,2016,MICHAEL BIGRIGG,ISM,95865,TEXT ANALYTICS,B3,3,7,43%,6.00,3.33,2.33,2.00,1.67,2.67,2.00,4.67,2.33,2.00,,,,,,,,,,,,,,
Spring,2016,JAMES CALLAN,ISM,95865,TEXT ANALYTICS,K4,11,16,69%,16.40,3.91,3.91,4.18,3.64,4.36,4.45,4.09,4.18,4.09,,,,,,,,,,,,,,
Spring,2016,RAHUL TELANG,ISM,95866,ADV BUSINESS ANALYTC,A4,37,55,67%,9.15,4.14,4.11,3.92,3.76,4.03,3.97,4.16,3.95,4.00,,,,,,,,,,,,,,
Spring,2016,DAVID CHOI,ISM,95868,EXPG VISUALZG DATA,A3,25,35,71%,9.20,4.60,4.76,4.72,4.36,4.56,4.68,4.80,4.64,4.68,,,,,,,,,,,,,,
Spring,2016,DAVID CHOI,ISM,95868,EXPG VISUALZG DATA,B4,24,37,65%,9.55,4.50,4.58,4.46,4.25,4.50,4.58,4.67,4.46,4.38,,,,,,,,,,,,,,
Spring,2016,VIBHANSHU ABHISHEK,ISM,95873,DGTL MKTG ANALYTICS,A3,21,28,75%,7.85,4.57,4.19,4.33,4.43,4.57,4.24,4.67,4.29,4.05,,,,,,,,,,,,,,
Spring,2016,VIBHANSHU ABHISHEK,ISM,95873,DGTL MKTG ANALYTICS,B3,20,28,71%,8.68,4.60,4.15,4.30,4.40,4.45,4.40,4.68,4.25,4.20,,,,,,,,,,,,,,
Spring,2016,JOHN DAVIS,ISM,95874,AGILE METHODS,A4,25,39,64%,6.50,4.56,4.28,4.36,4.24,4.48,4.40,4.56,4.36,4.08,,,,,,,,,,,,,,
Spring,2016,KAREN BIGRIGG,ISM,95880,PYTHON FOR DEV,A3,29,39,74%,10.07,4.38,4.17,4.21,4.10,4.21,4.14,4.72,4.14,4.24,,,,,,,,,,,,,,
Spring,2016,KAREN BIGRIGG,ISM,95880,PYTHON FOR DEV,B4,33,47,70%,8.58,4.18,4.21,4.21,3.88,4.06,4.09,4.52,4.09,4.00,,,,,,,,,,,,,,
Spring,2016,MICHAEL BIGRIGG,ISM,95881,WEB APP DEV,A3,14,19,74%,9.79,3.79,3.21,3.00,3.71,3.36,3.14,4.43,3.07,2.86,,,,,,,,,,,,,,
Spring,2016,KAREN BIGRIGG,ISM,95882,ENTPR WEB DEV,A4,15,22,68%,9.20,4.60,4.47,4.53,4.40,4.47,4.53,4.67,4.47,4.27,,,,,,,,,,,,,,
Spring,2016,RAJA SOORIAMURTHI,ISM,95885,PRACTICAL DATA SCI,A3,3,4,75%,9.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,
Spring,2016,RICHARD CARTER,ISM,95886,ENTERPRISE FOR INNOV,K4,8,12,67%,8.00,4.13,3.25,3.50,4.00,4.25,3.63,4.38,3.38,3.13,,,,,,,,,,,,,,
Spring,2016,TIMOTHY OLOUGHLIN,ISM,95900,INTERNSHIP,K,1,3,33%,27.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,
Spring,2016,VIBHANSHU ABHISHEK,ISM,95903,INDEPENDENT STUDY,A,2,2,100%,8.00,4.50,4.50,5.00,5.00,5.00,4.50,5.00,5.00,5.00,,,,,,,,,,,,,,
Spring,2016,ARI LIGHTMAN,ISM,95906,INDEPENDENT STUDY,B,3,4,75%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,
Spring,2016,KARYN MOORE,PMP,91729,BUS ANALYTICS MGRS,A4,17,22,77%,6.69,4.18,4.06,4.24,3.65,4.24,4.12,4.50,3.94,3.82,,,,,,,,,,,,,,
Spring,2016,MURLIKRISHNA VISWANATHAN,PMP,91802,INFORMTN SYS MANGERS,K,9,18,50%,6.00,4.33,4.22,4.22,4.22,4.11,4.00,4.89,4.11,3.67,,,,,,,,,,,,,,
Spring,2016,MARTIN GAYNOR,PMP,91803,ECO PRINC PLCY ANLYS,A,19,27,70%,6.50,4.00,4.16,4.11,3.68,4.22,4.32,4.53,4.00,3.84,,,,,,,,,,,,,,
Spring,2016,ROBERT BARTOLACCI,PMP,91804,FINANCL ANLYS MANGRS,A,22,26,85%,6.36,4.14,4.19,4.14,3.67,4.14,3.95,4.64,3.73,3.64,,,,,,,,,,,,,,
Spring,2016,DENISE ROUSSEAU,PMP,91809,ORGANIZATNL CHANGE,A4,28,30,93%,5.32,4.93,4.32,4.43,4.14,4.75,4.64,4.82,4.79,4.43,,,,,,,,,,,,,,
Spring,2016,JOSEPH BALESTREIRE,PMP,91844,MNG CUSTOMER EXP,A,7,12,58%,6.50,4.57,4.57,4.57,4.43,4.86,4.71,4.86,4.71,4.71,,,,,,,,,,,,,,
Spring,2016,LOLA MASON,PMP,91869,CONFLICT RESOLUTION,Z4,11,15,73%,6.20,4.64,4.09,4.36,4.64,4.73,4.73,4.73,4.55,4.36,,,,,,,,,,,,,,
Spring,2016,SILVIA BORZUTZKY,PPP,90703,WOMEN & PUBLIC POLCY,A3,15,19,79%,7.20,4.87,4.47,4.21,4.67,4.73,4.60,4.93,4.73,4.53,,,,,,,,,,,,,,
Spring,2016,EMIL BOLONGAITA,PPP,90705,POLICY ANALYSIS I,K,4,10,40%,9.50,4.25,4.50,4.25,3.75,4.75,4.25,4.75,4.50,4.25,,,,,,,,,,,,,,
Spring,2016,TIMOTHY OLOUGHLIN,PPP,90706,POLICY ANALYSIS II,K,7,10,70%,5.43,5.00,4.14,4.29,4.71,4.57,4.00,5.00,4.14,3.86,,,,,,,,,,,,,,
Spring,2016,PETER MADSEN,PPP,90708,HEALTHCARE ETHICS,A4,21,29,72%,4.86,4.81,4.76,4.71,4.57,4.57,4.86,4.86,4.81,4.76,,,,,,,,,,,,,,
Spring,2016,JANUSZ SZCZYPULA,PPP,90711,STATISTICAL METHODS,K,11,17,65%,8.40,4.73,4.82,4.82,4.64,4.82,4.82,5.00,4.91,4.82,,,,,,,,,,,,,,
Spring,2016,SILVIA BORZUTZKY,PPP,90713,POL & PLTCS INTL PER,A,21,25,84%,8.43,4.81,4.81,4.71,4.71,4.81,4.76,4.81,4.81,4.71,,,,,,,,,,,,,,
Spring,2016,SILVIA BORZUTZKY,PPP,90713,POL & PLTCS INTL PER,B,16,19,84%,8.75,4.50,4.56,4.69,4.56,4.50,4.56,4.81,4.50,4.38,,,,,,,,,,,,,,
Spring,2016,SILVIA BORZUTZKY,PPP,90714,POL & PLTC AM POL IN,A,16,19,84%,6.69,4.94,4.81,4.63,4.94,4.75,4.81,4.88,4.81,4.75,,,,,,,,,,,,,,
Spring,2016,STACY ROSENBERG,PPP,90718,STRTGC PRSNTN SKILLS,A3,10,12,83%,6.88,4.80,4.80,4.90,4.90,4.80,4.60,4.90,4.70,4.40,,,,,,,,,,,,,,
Spring,2016,BETH WALTER,PPP,90718,STRTGC PRSNTN SKILLS,B3,9,11,82%,6.00,4.44,4.44,4.44,4.22,4.56,4.56,4.44,4.67,4.33,,,,,,,,,,,,,,
Spring,2016,KIM HYATT,PPP,90718,STRTGC PRSNTN SKILLS,C3,11,11,100%,6.09,4.82,4.73,4.91,4.73,4.55,4.73,4.82,4.73,4.45,,,,,,,,,,,,,,
Spring,2016,STACY ROSENBERG,PPP,90718,STRTGC PRSNTN SKILLS,D4,8,10,80%,5.38,4.75,4.88,4.75,4.88,4.63,4.88,4.75,4.88,4.75,,,,,,,,,,,,,,
Spring,2016,STACY ROSENBERG,PPP,90718,STRTGC PRSNTN SKILLS,E4,11,12,92%,6.91,4.82,4.73,4.82,4.82,4.91,4.73,4.91,4.82,4.82,,,,,,,,,,,,,,
Spring,2016,BETH WALTER,PPP,90718,STRTGC PRSNTN SKILLS,F4,7,9,78%,8.43,5.00,4.86,5.00,4.57,5.00,5.00,4.43,4.57,4.71,,,,,,,,,,,,,,
Spring,2016,KIM HYATT,PPP,90718,STRTGC PRSNTN SKILLS,G3,11,11,100%,5.27,5.00,4.82,5.00,4.73,4.73,4.91,5.00,5.00,4.91,,,,,,,,,,,,,,
Spring,2016,KIM HYATT,PPP,90718,STRTGC PRSNTN SKILLS,H4,7,12,58%,5.43,4.86,4.86,4.86,4.86,4.71,4.57,4.86,4.86,4.57,,,,,,,,,,,,,,
Spring,2016,KIM HYATT,PPP,90718,STRTGC PRSNTN SKILLS,I4,8,10,80%,5.43,4.75,4.63,4.63,4.75,4.75,4.75,4.75,4.63,4.63,,,,,,,,,,,,,,
Spring,2016,KIM HYATT,PPP,90718,STRTGC PRSNTN SKILLS,J3,12,12,100%,7.00,4.92,4.92,5.00,4.67,4.83,4.92,4.75,4.83,4.67,,,,,,,,,,,,,,
Spring,2016,LAURA SYNNOTT,PPP,90721,HEALTHCARE MNGEMNT,A3,17,18,94%,8.53,4.12,3.59,3.59,3.59,4.06,4.06,3.76,3.82,4.06,,,,,,,,,,,,,,
Spring,2016,JONATHAN CAULKINS,PPP,90722,MNGMNT SCIENCE I,A3,26,31,84%,11.65,4.15,4.04,4.35,3.65,4.58,4.12,4.15,4.08,4.08,,,,,,,,,,,,,,
Spring,2016,JONATHAN CAULKINS,PPP,90722,MNGMNT SCIENCE I,B3,22,32,69%,11.48,4.45,4.59,4.50,4.09,4.50,4.33,4.41,4.36,4.32,,,,,,,,,,,,,,
Spring,2016,JONATHAN CAULKINS,PPP,90722,MNGMNT SCIENCE I,C3,29,35,83%,11.55,4.71,4.89,4.93,4.45,4.83,4.76,4.69,4.76,4.76,,,,,,,,,,,,,,
Spring,2016,ADAM RESNICK,PPP,90722,MNGMNT SCIENCE I,D3,13,22,59%,12.00,4.46,4.17,4.00,3.77,4.31,4.15,4.85,3.85,3.77,,,,,,,,,,,,,,
